Serial No.,Chance of Admit ,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
110,0.68,304,103,5,5,4,8.64,0
111,0.61,305,108,5,3,3,8.48,0
112,0.69,321,109,4,4,4,8.68,1
113,0.62,301,107,3,3.5,3.5,8.34,1
114,0.72,320,110,2,4,3.5,8.56,0
115,0.59,311,105,3,3.5,3,8.45,1
116,0.66,310,106,4,4.5,4.5,9.04,1
117,0.56,299,102,3,4,3.5,8.62,0
118,0.45,290,104,4,2,2.5,7.46,0
119,0.47,296,99,2,3,3.5,7.28,0
120,0.71,327,104,5,3,3.5,8.84,1
121,0.94,335,117,5,5,5,9.56,1
122,0.94,334,119,5,4.5,4.5,9.48,1
123,0.57,310,106,4,1.5,2.5,8.36,0
124,0.61,308,108,3,3.5,3.5,8.22,0
125,0.57,301,106,4,2.5,3,8.47,0
126,0.64,300,100,3,2,3,8.66,1
127,0.85,323,113,3,4,3,9.32,1
128,0.78,319,112,3,2.5,2,8.71,1
129,0.84,326,112,3,3.5,3,9.1,1
130,0.92,333,118,5,5,5,9.35,1
131,0.96,339,114,5,4,4.5,9.76,1
132,0.77,303,105,5,5,4.5,8.65,0
133,0.71,309,105,5,3.5,3.5,8.56,0
134,0.79,323,112,5,4,4.5,8.78,0
135,0.89,333,113,5,4,4,9.28,1
136,0.82,314,109,4,3.5,4,8.77,1
137,0.76,312,103,3,5,4,8.45,0
138,0.71,316,100,2,1.5,3,8.16,1
139,0.8,326,116,2,4.5,3,9.08,1
140,0.78,318,109,1,3.5,3.5,9.12,0
141,0.84,329,110,2,4,3,9.15,1
142,0.9,332,118,2,4.5,3.5,9.36,1
143,0.92,331,115,5,4,3.5,9.44,1
144,0.97,340,120,4,4.5,4,9.92,1
145,0.8,325,112,2,3,3.5,8.96,1
146,0.81,320,113,2,2,2.5,8.64,1
147,0.75,315,105,3,2,2.5,8.48,0
148,0.83,326,114,3,3,3,9.11,1
149,0.96,339,116,4,4,3.5,9.8,1
150,0.79,311,106,2,3.5,3,8.26,1
151,0.93,334,114,4,4,4,9.43,1
152,0.94,332,116,5,5,5,9.28,1
153,0.86,321,112,5,5,5,9.06,1
154,0.79,324,105,3,3,4,8.75,0
155,0.8,326,108,3,3,3.5,8.89,0
156,0.77,312,109,3,3,3,8.69,0
157,0.7,315,105,3,2,2.5,8.34,0
158,0.65,309,104,2,2,2.5,8.26,0
159,0.61,306,106,2,2,2.5,8.14,0
160,0.52,297,100,1,1.5,2,7.9,0
161,0.57,315,103,1,1.5,2,7.86,0
162,0.53,298,99,1,1.5,3,7.46,0
163,0.67,318,109,3,3,3,8.5,0
164,0.68,317,105,3,3.5,3,8.56,0
165,0.81,329,111,4,4.5,4,9.01,1
166,0.78,322,110,5,4.5,4,8.97,0
167,0.65,302,102,3,3.5,5,8.33,0
168,0.64,313,102,3,2,3,8.27,0
169,0.64,293,97,2,2,4,7.8,1
170,0.65,311,99,2,2.5,3,7.98,0
171,0.68,312,101,2,2.5,3.5,8.04,1
172,0.89,334,117,5,4,4.5,9.07,1
173,0.86,322,110,4,4,5,9.13,1
174,0.89,323,113,4,4,4.5,9.23,1
175,0.87,321,111,4,4,4,8.97,1
176,0.85,320,111,4,4.5,3.5,8.87,1
177,0.9,329,119,4,4.5,4.5,9.16,1
178,0.82,319,110,3,3.5,3.5,9.04,0
179,0.72,309,108,3,2.5,3,8.12,0
180,0.73,307,102,3,3,3,8.27,0
181,0.71,300,104,3,3.5,3,8.16,0
182,0.71,305,107,2,2.5,2.5,8.42,0
183,0.68,299,100,2,3,3.5,7.88,0
184,0.75,314,110,3,4,4,8.8,0
185,0.72,316,106,2,2.5,4,8.32,0
186,0.89,327,113,4,4.5,4.5,9.11,1
187,0.84,317,107,3,3.5,3,8.68,1
188,0.93,335,118,5,4.5,3.5,9.44,1
189,0.93,331,115,5,4.5,3.5,9.36,1
190,0.88,324,112,5,5,5,9.08,1
191,0.9,324,111,5,4.5,4,9.16,1
192,0.87,323,110,5,4,5,8.98,1
193,0.86,322,114,5,4.5,4,8.94,1
194,0.94,336,118,5,4.5,5,9.53,1
195,0.77,316,109,3,3.5,3,8.76,0
196,0.78,307,107,2,3,3.5,8.52,1
197,0.73,306,105,2,3,2.5,8.26,0
198,0.73,310,106,2,3.5,2.5,8.33,0
199,0.7,311,104,3,4.5,4.5,8.43,0
200,0.72,313,107,3,4,4.5,8.69,0
201,0.73,317,103,3,2.5,3,8.54,1
202,0.72,315,110,2,3.5,3,8.46,1
203,0.97,340,120,5,4.5,4.5,9.91,1
204,0.97,334,120,5,4,5,9.87,1
205,0.69,298,105,3,3.5,4,8.54,0
206,0.57,295,99,2,2.5,3,7.65,0
207,0.63,315,99,2,3.5,3,7.89,0
208,0.66,310,102,3,3.5,4,8.02,1
209,0.64,305,106,2,3,3,8.16,0
210,0.68,301,104,3,3.5,4,8.12,1
211,0.79,325,108,4,4.5,4,9.06,1
212,0.82,328,110,4,5,4,9.14,1
213,0.95,338,120,4,5,5,9.66,1
214,0.96,333,119,5,5,4.5,9.78,1
215,0.94,331,117,4,4.5,5,9.42,1
216,0.93,330,116,5,5,4.5,9.36,1
217,0.91,322,112,4,4.5,4.5,9.26,1
218,0.85,321,109,4,4,4,9.13,1
219,0.84,324,110,4,3,3.5,8.97,1
220,0.74,312,104,3,3.5,3.5,8.42,0
221,0.76,313,103,3,4,4,8.75,0
222,0.75,316,110,3,3.5,4,8.56,0
223,0.76,324,113,4,4.5,4,8.79,0
224,0.71,308,109,2,3,4,8.45,0
225,0.67,305,105,2,3,2,8.23,0
226,0.61,296,99,2,2.5,2.5,8.03,0
227,0.63,306,110,2,3.5,4,8.45,0
228,0.64,312,110,2,3.5,3,8.53,0
229,0.71,318,112,3,4,3.5,8.67,0
230,0.82,324,111,4,3,3,9.01,1
231,0.73,313,104,3,4,4.5,8.65,0
232,0.74,319,106,3,3.5,2.5,8.33,1
233,0.69,312,107,2,2.5,3.5,8.27,0
234,0.64,304,100,2,2.5,3.5,8.07,0
235,0.91,330,113,5,5,4,9.31,1
236,0.88,326,111,5,4.5,4,9.23,1
237,0.85,325,112,4,4,4.5,9.17,1
238,0.86,329,114,5,4.5,5,9.19,1
239,0.7,310,104,3,2,3.5,8.37,0
240,0.59,299,100,1,1.5,2,7.89,0
241,0.6,296,101,1,2.5,3,7.68,0
242,0.65,317,103,2,2.5,2,8.15,0
243,0.7,324,115,3,3.5,3,8.76,1
244,0.76,325,114,3,3.5,3,9.04,1
245,0.63,314,107,2,2.5,4,8.56,0
246,0.81,328,110,4,4,2.5,9.02,1
247,0.72,316,105,3,3,3.5,8.73,0
248,0.71,311,104,2,2.5,3.5,8.48,0
249,0.8,324,110,3,3.5,4,8.87,1
250,0.77,321,111,3,3.5,4,8.83,1
251,0.74,320,104,3,3,2.5,8.57,1
252,0.7,316,99,2,2.5,3,9,0
253,0.71,318,100,2,2.5,3.5,8.54,1
254,0.93,335,115,4,4.5,4.5,9.68,1
255,0.85,321,114,4,4,5,9.12,0
256,0.79,307,110,4,4,4.5,8.37,0
257,0.76,309,99,3,4,4,8.56,0
258,0.78,324,100,3,4,5,8.64,1
259,0.77,326,102,4,5,5,8.76,1
260,0.9,331,119,4,5,4.5,9.34,1
261,0.87,327,108,5,5,3.5,9.13,1
262,0.71,312,104,3,3.5,4,8.09,0
263,0.7,308,103,2,2.5,4,8.36,1
264,0.7,324,111,3,2.5,1.5,8.79,1
265,0.75,325,110,2,3,2.5,8.76,1
266,0.71,313,102,3,2.5,2.5,8.68,0
267,0.72,312,105,2,2,2.5,8.45,0
268,0.73,314,107,3,3,3.5,8.17,1
269,0.83,327,113,4,4.5,5,9.14,0
270,0.77,308,108,4,4.5,5,8.34,0
271,0.72,306,105,2,2.5,3,8.22,1
272,0.54,299,96,2,1.5,2,7.86,0
273,0.49,294,95,1,1.5,1.5,7.64,0
274,0.52,312,99,1,1,1.5,8.01,1
275,0.58,315,100,1,2,2.5,7.95,0
276,0.78,322,110,3,3.5,3,8.96,1
277,0.89,329,113,5,5,4.5,9.45,1
278,0.7,320,101,2,2.5,3,8.62,0
279,0.66,308,103,2,3,3.5,8.49,0
280,0.67,304,102,2,3,4,8.73,0
281,0.68,311,102,3,4.5,4,8.64,1
282,0.8,317,110,3,4,4.5,9.11,1
283,0.81,312,106,3,4,3.5,8.79,1
284,0.8,321,111,3,2.5,3,8.9,1
285,0.94,340,112,4,5,4.5,9.66,1
286,0.93,331,116,5,4,4,9.26,1
287,0.92,336,118,5,4.5,4,9.19,1
288,0.89,324,114,5,5,4.5,9.08,1
289,0.82,314,104,4,5,5,9.02,0
290,0.79,313,109,3,4,3.5,9,0
291,0.58,307,105,2,2.5,3,7.65,0
292,0.56,300,102,2,1.5,2,7.87,0
293,0.56,302,99,2,1,2,7.97,0
294,0.64,312,98,1,3.5,3,8.18,1
295,0.61,316,101,2,2.5,2,8.32,1
296,0.68,317,100,2,3,2.5,8.57,0
297,0.76,310,107,3,3.5,3.5,8.67,0
298,0.86,320,120,3,4,4.5,9.11,0
299,0.9,330,114,3,4.5,4.5,9.24,1
300,0.71,305,112,3,3,3.5,8.65,0
301,0.62,309,106,2,2.5,2.5,8,0
302,0.66,319,108,2,2.5,3,8.76,0
303,0.65,322,105,2,3,3,8.45,1
304,0.73,323,107,3,3.5,3.5,8.55,1
305,0.62,313,106,2,2.5,2,8.43,0
306,0.74,321,109,3,3.5,3.5,8.8,1
307,0.79,323,110,3,4,3.5,9.1,1
308,0.8,325,112,4,4,4,9,1
309,0.69,312,108,3,3.5,3,8.53,0
310,0.7,308,110,4,3.5,3,8.6,0
311,0.76,320,104,3,3,3.5,8.74,1
312,0.84,328,108,4,4.5,4,9.18,1
313,0.78,311,107,4,4.5,4.5,9,1
314,0.67,301,100,3,3.5,3,8.04,0
315,0.66,305,105,2,3,4,8.13,0
316,0.65,308,104,2,2.5,3,8.07,0
317,0.54,298,101,2,1.5,2,7.86,0
318,0.58,300,99,1,1,2.5,8.01,0
319,0.79,324,111,3,2.5,2,8.8,1
320,0.8,327,113,4,3.5,3,8.69,1
321,0.75,317,106,3,4,3.5,8.5,1
322,0.73,323,104,3,4,4,8.44,1
323,0.72,314,107,2,2.5,4,8.27,0
324,0.62,305,102,2,2,2.5,8.18,0
325,0.67,315,104,3,3,2.5,8.33,0
326,0.81,326,116,3,3.5,4,9.14,1
327,0.63,299,100,3,2,2,8.02,0
328,0.69,295,101,2,2.5,2,7.86,0
329,0.8,324,112,4,4,3.5,8.77,1
330,0.43,297,96,2,2.5,1.5,7.89,0
331,0.8,327,113,3,3.5,3,8.66,1
332,0.73,311,105,2,3,2,8.12,1
333,0.75,308,106,3,3.5,2.5,8.21,1
334,0.71,319,108,3,3,3.5,8.54,1
335,0.73,312,107,4,4.5,4,8.65,1
336,0.83,325,111,4,4,4.5,9.11,1
337,0.72,319,110,3,3,2.5,8.79,0
338,0.94,332,118,5,5,5,9.47,1
339,0.81,323,108,5,4,4,8.74,1
340,0.81,324,107,5,3.5,4,8.66,1
341,0.75,312,107,3,3,3,8.46,1
342,0.79,326,110,3,3.5,3.5,8.76,1
343,0.58,308,106,3,3,3,8.24,0
344,0.59,305,103,2,2.5,3.5,8.13,0
345,0.47,295,96,2,1.5,2,7.34,0
346,0.49,316,98,1,1.5,2,7.43,0
347,0.47,304,97,2,1.5,2,7.64,0
348,0.42,299,94,1,1,1,7.34,0
349,0.57,302,99,1,2,2,7.25,0
350,0.62,313,101,3,2.5,3,8.04,0
351,0.74,318,107,3,3,3.5,8.27,1
352,0.73,325,110,4,3.5,4,8.67,1
353,0.64,303,100,2,3,3.5,8.06,1
354,0.63,300,102,3,3.5,2.5,8.17,0
355,0.59,297,98,2,2.5,3,7.67,0
356,0.73,317,106,2,2,3.5,8.12,0
357,0.79,327,109,3,3.5,4,8.77,1
358,0.68,301,104,2,3.5,3.5,7.89,1
359,0.7,314,105,2,2.5,2,7.64,0
360,0.81,321,107,2,2,1.5,8.44,0
361,0.85,322,110,3,4,5,8.64,1
362,0.93,334,116,4,4,3.5,9.54,1
363,0.91,338,115,5,4.5,5,9.23,1
364,0.69,306,103,2,2.5,3,8.36,0
365,0.77,313,102,3,3.5,4,8.9,1
366,0.86,330,114,4,4.5,3,9.17,1
367,0.74,320,104,3,3.5,4.5,8.34,1
368,0.57,311,98,1,1,2.5,7.46,0
369,0.51,298,92,1,2,2,7.88,0
370,0.67,301,98,1,2,3,8.03,1
371,0.72,310,103,2,2.5,2.5,8.24,0
372,0.89,324,110,3,3.5,3,9.22,1
373,0.95,336,119,4,4.5,4,9.62,1
374,0.79,321,109,3,3,3,8.54,1
375,0.39,315,105,2,2,2.5,7.65,0
376,0.38,304,101,2,2,2.5,7.66,0
377,0.34,297,96,2,2.5,2,7.43,0
378,0.47,290,100,1,1.5,2,7.56,0
379,0.56,303,98,1,2,2.5,7.65,0
380,0.71,311,99,1,2.5,3,8.43,1
381,0.78,322,104,3,3.5,4,8.84,1
382,0.73,319,105,3,3,3.5,8.67,1
383,0.82,324,110,4,4.5,4,9.15,1
384,0.62,300,100,3,3,3.5,8.26,0
385,0.96,340,113,4,5,5,9.74,1
386,0.96,335,117,5,5,5,9.82,1
387,0.46,302,101,2,2.5,3.5,7.96,0
388,0.53,307,105,2,2,3.5,8.1,0
389,0.49,296,97,2,1.5,2,7.8,0
390,0.76,320,108,3,3.5,4,8.44,1
391,0.64,314,102,2,2,2.5,8.24,0
392,0.71,318,106,3,2,3,8.65,0
393,0.84,326,112,4,4,3.5,9.12,1
394,0.77,317,104,2,3,3,8.76,0
395,0.89,329,111,4,4.5,4,9.23,1
396,0.82,324,110,3,3.5,3.5,9.04,1
397,0.84,325,107,3,3,3.5,9.11,1
398,0.91,330,116,4,5,4.5,9.45,1
399,0.67,312,103,3,3.5,4,8.78,0
400,0.95,333,117,4,5,4,9.66,1
